first_delivery_week,first_delivery_customers,customers_first_purchase_was_delivery,existing_customers_at_first_delivery,net_new_customer_rate,returned_delivery_customers,secured_delivery_customers,delivery_return_stickiness_rate,secured_delivery_stickiness_rate,first_delivery_atv,post_delivery_net_sales,post_delivery_atv,net_new_cust_count,net_new_first_delivery_net_sales,net_new_post_delivery_net_sales,returned_net_new_cust_count,secured_net_new_cust_count
2026-02-23,214,8,206,0.037,88,46,0.411,0.215,92.51,31834.42,62.3,8,633.03,459.76,2,0
2026-03-02,1031,140,891,0.136,461,177,0.447,0.172,91.29,135940.79,71.43,140,13883.89,13929.41,60,9
2026-03-09,2694,515,2179,0.191,1631,694,0.605,0.258,99.85,571185.96,83.8,515,54559.68,113503.37,293,132
2026-03-16,2886,536,2350,0.186,1649,487,0.571,0.169,96.19,449130.75,89.74,536,53170.63,74868.94,283,72
2026-03-23,2372,392,1980,0.165,1081,220,0.456,0.093,96.66,223858.28,85.18,392,41471.41,32057.41,163,26
2026-03-30,1961,323,1638,0.165,756,92,0.386,0.047,96.96,121699.46,82.62,323,33146.47,20696.67,113,15
2026-04-06,1751,324,1427,0.185,568,44,0.324,0.025,98.51,92995.11,91.8,324,32409.05,14795.41,93,7
2026-04-13,1605,307,1298,0.191,378,20,0.236,0.012,101.42,51247.11,84.29,307,31145.83,11569.21,80,7
2026-04-20,1507,298,1209,0.198,298,21,0.198,0.014,99.47,43988.05,93.0,298,31400.85,12214.16,69,2
2026-04-27,1262,266,996,0.211,242,8,0.192,0.006,95.96,26662.09,76.62,266,25761.28,5137.62,44,1
2026-05-04,1188,271,917,0.228,168,5,0.141,0.004,90.04,17393.61,79.42,271,24669.41,5545.53,42,2
2026-05-11,1103,208,895,0.189,86,1,0.078,0.001,94.52,6865.68,64.17,208,21064.34,2006.55,18,1
2026-05-18,815,98,717,0.12,44,1,0.054,0.001,82.45,3543.71,69.48,98,8581.73,234.0,3,0
2026-05-25,668,109,559,0.163,19,0,0.028,0.0,83.05,1944.52,77.78,109,8937.97,1004.3,5,0
2026-06-01,218,19,199,0.087,0,0,0.0,0.0,78.46,0.0,0.0,19,1174.62,0.0,0,0
